time/total_timesteps,rollout/success_rate,rollout/ep_rew_mean,time/episodes,rollout/ep_len_mean,time/fps,time/time_elapsed,train/actor_loss,train/learning_rate,train/critic_loss,train/n_updates
576,1.0,0.6705160500000003,576,1.0,54,10,-0.6451640129089355,0.001,1.6041012713685632e-05,475
580,1.0,0.67033202,580,1.0,54,10,-0.6293526887893677,0.001,1.3642842532135546e-05,479
584,1.0,0.6675396100000001,584,1.0,54,10,-0.6415413022041321,0.001,1.2044238246744499e-05,483
588,1.0,0.66987071,588,1.0,54,10,-0.6358453631401062,0.001,9.644567398936488e-06,487
592,1.0,0.6750788999999999,592,1.0,54,10,-0.6312081217765808,0.001,1.2558320122479927e-05,491
596,1.0,0.6791504399999998,596,1.0,54,10,-0.6250013113021851,0.001,1.4518340321956202e-05,495
600,1.0,0.6790179599999999,600,1.0,54,11,-0.629531741142273,0.001,1.149541640188545e-05,499
604,1.0,0.6874831100000002,604,1.0,54,11,-0.6459475755691528,0.001,1.1061480108764954e-05,503
608,1.0,0.6746108199999999,608,1.0,54,11,-0.6344650387763977,0.001,8.584888746554498e-06,507
612,1.0,0.6789777300000001,612,1.0,54,11,-0.6483020186424255,0.001,8.376617188332602e-06,511
616,1.0,0.6814429600000002,616,1.0,54,11,-0.6365081071853638,0.001,1.1112112588307355e-05,515
620,1.0,0.6779329300000001,620,1.0,54,11,-0.6385971307754517,0.001,1.1132302461192012e-05,519
624,1.0,0.68143,624,1.0,54,11,-0.6581393480300903,0.001,8.530647392035462e-06,523
628,1.0,0.68103924,628,1.0,54,11,-0.6380648612976074,0.001,1.3933368791185785e-05,527
632,1.0,0.6727828100000001,632,1.0,54,11,-0.6470999121665955,0.001,1.0749668945209123e-05,531
636,1.0,0.67174592,636,1.0,54,11,-0.6363224387168884,0.001,1.0673429642338306e-05,535
640,1.0,0.67337005,640,1.0,53,11,-0.649965763092041,0.001,7.55378505346016e-06,539
644,1.0,0.6727488999999999,644,1.0,53,11,-0.635084867477417,0.001,8.039861313591246e-06,543
648,1.0,0.66567009,648,1.0,53,12,-0.6552637815475464,0.001,8.890948265616316e-06,547
652,1.0,0.66029871,652,1.0,53,12,-0.6615318059921265,0.001,9.32425245991908e-06,551
656,1.0,0.6540762799999998,656,1.0,53,12,-0.6497255563735962,0.001,8.716425327293109e-06,555
660,1.0,0.65217495,660,1.0,53,12,-0.6502301096916199,0.001,8.22952097223606e-06,559
664,1.0,0.6456495699999999,664,1.0,53,12,-0.6636655330657959,0.001,6.2772774072072934e-06,563
668,1.0,0.64966279,668,1.0,53,12,-0.6402924656867981,0.001,9.568118912284262e-06,567
672,1.0,0.6475810900000001,672,1.0,53,12,-0.6573420166969299,0.001,8.059530955506489e-06,571
676,1.0,0.65202716,676,1.0,53,12,-0.6389973163604736,0.001,9.957253496395424e-06,575
680,1.0,0.6498642000000001,680,1.0,53,12,-0.647219717502594,0.001,8.479717507725582e-06,579
684,1.0,0.64878227,684,1.0,53,12,-0.6333332061767578,0.001,8.257424269686453e-06,583
688,1.0,0.64759348,688,1.0,52,13,-0.6411130428314209,0.001,5.573355338128749e-06,587
692,1.0,0.6465834500000001,692,1.0,52,13,-0.633176326751709,0.001,9.009628229250666e-06,591
696,1.0,0.64152889,696,1.0,52,13,-0.6349049210548401,0.001,9.468788448430132e-06,595
700,1.0,0.64186834,700,1.0,52,13,-0.6455881595611572,0.001,6.541120455949567e-06,599
704,1.0,0.6471060600000001,704,1.0,52,13,-0.6363328099250793,0.001,9.016893272928428e-06,603
708,1.0,0.6587612199999999,708,1.0,52,13,-0.6671817302703857,0.001,7.485326023015659e-06,607
712,1.0,0.65700913,712,1.0,52,13,-0.6550533175468445,0.001,7.571868991362862e-06,611
716,1.0,0.6555570300000001,716,1.0,52,13,-0.6681309342384338,0.001,7.21579635865055e-06,615
720,1.0,0.6578174400000001,720,1.0,52,13,-0.6622133255004883,0.001,7.511785042879637e-06,619
724,1.0,0.65836084,724,1.0,52,13,-0.636273205280304,0.001,6.742235200363211e-06,623
728,1.0,0.6550639500000002,728,1.0,52,13,-0.641893208026886,0.001,5.1383767640800215e-06,627
732,1.0,0.6548002100000001,732,1.0,52,13,-0.6402984857559204,0.001,6.646092515438795e-06,631
736,1.0,0.6469587800000001,736,1.0,52,14,-0.6629678010940552,0.001,5.711386620532721e-06,635
740,1.0,0.64820977,740,1.0,52,14,-0.6498231291770935,0.001,7.920979442133103e-06,639
744,1.0,0.64864712,744,1.0,52,14,-0.6395253539085388,0.001,5.681670700141694e-06,643
748,1.0,0.64921401,748,1.0,52,14,-0.6502799391746521,0.001,6.1145688050601166e-06,647
752,1.0,0.65372489,752,1.0,52,14,-0.6598143577575684,0.001,4.663745585276047e-06,651
756,1.0,0.6568636900000001,756,1.0,52,14,-0.64452064037323,0.001,5.49678679817589e-06,655
760,1.0,0.6495911000000001,760,1.0,52,14,-0.6514908075332642,0.001,5.782634161732858e-06,659
764,1.0,0.6553436100000001,764,1.0,52,14,-0.6434212923049927,0.001,3.827663022093475e-06,663
768,1.0,0.65372138,768,1.0,52,14,-0.6545720100402832,0.001,5.007565050618723e-06,667
772,1.0,0.6561727,772,1.0,52,14,-0.637502133846283,0.001,5.632191914628493e-06,671
776,1.0,0.65251136,776,1.0,52,14,-0.6428897380828857,0.001,5.408352080848999e-06,675
780,1.0,0.6612888100000001,780,1.0,52,14,-0.6297255754470825,0.001,3.894076144206338e-06,679
784,1.0,0.6672203,784,1.0,52,15,-0.6407648324966431,0.001,5.100412636238616e-06,683
788,1.0,0.6640835799999999,788,1.0,52,15,-0.6398399472236633,0.001,4.654237272916362e-06,687
792,1.0,0.66148949,792,1.0,51,15,-0.6327723860740662,0.001,5.4889983402972575e-06,691
796,1.0,0.66480018,796,1.0,51,15,-0.6438139081001282,0.001,4.183089458820177e-06,695
800,1.0,0.6615518600000001,800,1.0,51,15,-0.6456329822540283,0.001,4.392109531181632e-06,699
804,1.0,0.6493469200000002,804,1.0,51,15,-0.6282128691673279,0.001,7.973132596816868e-06,703
808,1.0,0.6415441100000001,808,1.0,51,15,-0.6599063873291016,0.001,4.455640464584576e-06,707
812,1.0,0.64212051,812,1.0,51,15,-0.637374997138977,0.001,6.033660611137748e-06,711
816,1.0,0.63976179,816,1.0,51,15,-0.6366458535194397,0.001,5.269317171041621e-06,715
820,1.0,0.6399646,820,1.0,51,15,-0.6464520692825317,0.001,5.548208264372079e-06,719
824,1.0,0.6402875599999999,824,1.0,51,15,-0.655863881111145,0.001,4.539150268101366e-06,723
828,1.0,0.6502172199999999,828,1.0,51,16,-0.6571903228759766,0.001,4.559074113785755e-06,727
832,1.0,0.65231503,832,1.0,51,16,-0.6530462503433228,0.001,3.3218761927855667e-06,731
836,1.0,0.66157076,836,1.0,51,16,-0.6428601145744324,0.001,4.070972863701172e-06,735
840,1.0,0.6580189200000001,840,1.0,51,16,-0.66683030128479,0.001,3.1122365271585295e-06,739
844,1.0,0.65600763,844,1.0,51,16,-0.6510624885559082,0.001,4.251429345458746e-06,743
848,1.0,0.64844694,848,1.0,51,16,-0.6589975953102112,0.001,3.2712814572732896e-06,747
852,1.0,0.6474910600000001,852,1.0,51,16,-0.6495760679244995,0.001,4.846554020332405e-06,751
856,1.0,0.6436813499999999,856,1.0,51,16,-0.6402220726013184,0.001,3.6583683140634093e-06,755
860,1.0,0.65038581,860,1.0,51,16,-0.6483572125434875,0.001,2.7570549718802795e-06,759
864,1.0,0.6438566,864,1.0,51,16,-0.6314200162887573,0.001,5.095519554743078e-06,763
868,1.0,0.6395764500000001,868,1.0,51,16,-0.6325047016143799,0.001,2.4184014364436734e-06,767
872,1.0,0.6330350900000001,872,1.0,51,16,-0.6445515155792236,0.001,3.5557827686716337e-06,771
876,1.0,0.63081618,876,1.0,51,17,-0.6486243009567261,0.001,3.627160822361475e-06,775
880,1.0,0.61670149,880,1.0,51,17,-0.6327542662620544,0.001,4.9399536692362744e-06,779
884,1.0,0.61702422,884,1.0,51,17,-0.6478515863418579,0.001,3.6135761547484435e-06,783
888,1.0,0.61971603,888,1.0,51,17,-0.6559181809425354,0.001,3.986049705417827e-06,787
892,1.0,0.61975875,892,1.0,51,17,-0.649886429309845,0.001,2.5563870167388814e-06,791
896,1.0,0.61517427,896,1.0,51,17,-0.64422607421875,0.001,3.909354745701421e-06,795
900,1.0,0.61648016,900,1.0,51,17,-0.629417896270752,0.001,2.466889100105618e-06,799
